a	アー
ai	アイ
an	アン
ang	アーン
ao	アオ
ba	バー
bai	バイ
ban	バン
bang	バーン
bao	バオ
bei	ベイ
ben	ベン
beng	ブオン
bi	ビー
bian	ビエン
biang	ビヤーン
biao	ビヤオ
bie	ビエ
bin	ビン
bing	ビーン
bo	ボー
bu	ブゥ
ca	ツァー
cai	ツァイ
can	ツァン
cang	ツァーン
cao	ツァオ
ce	ツォーァ
cei	ツェイ
cen	ツェン
ceng	ツオン
cha	チャア
chai	チャイ
chan	チャン
chang	チャーン
chao	チャオ
che	チョーァ
chen	チェン
cheng	チュヨン
chi	チー
chong	チョーン
chou	チョウ
chu	チュウ
chua	チュワ
chuai	チュワイ
chuan	チュワン
chuang	チュワーン
chui	チュウイ
chun	チュン
chuo	チュオ
ci	ツー
cong	ツオーン
cou	ツォウ
cu	ツゥ
cuan	ツワン
cui	ツゥイ
cun	ツゥン
cuo	ツゥオ
da	ダー
dai	ダイ
dan	ダン
dang	ダーン
dao	ダオ
de	ドーァ
dei	デイ
den	デン
deng	ドゥオン
di	ディー
dia	ディア
dian	ディエン
diang	ディヤーン
diao	ディヤオ
die	ディエ
din	ディン
ding	ディーン
diu	ディウ
dong	ドーン
dou	ドウ
du	ドゥ
duan	ドワン
dui	ドゥイ
dun	ドゥン
duo	ドゥオ
e	オーァ
ei	エイ
en	エン
eng	ウオン
er	アル
fa	ファー
fan	ファン
fang	ファーン
fei	フェイ
fen	フェン
feng	フオン
fiao	フィヤオ
fo	フォー
fou	フォウ
fu	フゥ
ga	ガー
gai	ガイ
gan	ガン
gang	ガーン
gao	ガオ
ge	ゴーァ
gei	ゲイ
gen	ゲン
geng	グオン
gong	ゴーン
gou	ゴウ
gu	グゥ
gua	グワ
guai	グワイ
guan	グワン
guang	グワーン
gui	グイ
gun	グン
guo	グオ
ha	ハー
hai	ハイ
han	ハン
hang	ハーン
hao	ハオ
he	ホーァ
hei	ヘイ
hen	ヘン
heng	ホゥオン
hong	ホーン
hou	ホウ
hu	ホゥ
hua	ホワ
huai	ホワイ
huan	ホワン
huang	ホワーン
hui	ホゥイ
hun	ホゥン
huo	ホゥオ
ji	ジイ
